file_path,width,height,red_ratio,red_moment_1,red_moment_2,green_ratio,green_moment_1,green_moment_2,blue_ratio,blue_moment_1,blue_moment_2,focus,luminance,luminance_std,all_edges,v_edges,h_edges,d_edges,orientation,simplicity,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,rank_sum,fps,size,shackiness,motion_mag,fg_area,shadow_area,bg_area,camera_move,focus_diff,gabor_0,gabor_15,gabor_30,gabor_45,gabor_60,gabor_75,gabor_90,gabor_105,gabor_120,gabor_135,gabor_150,gabor_165,EH_0,EH_1,EH_2,EH_3,EH_4,EH_5,EH_6,EH_7,EH_8,EH_9,EH_10,EH_11,EH_12,EH_13,EH_14,EH_15,EH_16
53,300,225,0.259209,0.264733,0.238459,0.34483,0.352178,0.248263,0.395961,0.4044,0.246927,0.240213,0.325463,0.235892,0.365306,0.430721,0.299891,0.209766,0,0,0,0,0,0,0,0.174844,0.0293842,0,0.028125,0,0,0,0,0,0,0,0.1284,0.156361,0.211029,0.215969,0.188744,0.247705,0.204349,0.225819,0.262274,0.154699,0.279567,0.142301,4,2,3,1,3,2,4,1,4,2,2,4,2,2,2,4,2
54,300,225,0.149658,0.194124,0.156664,0.358599,0.465145,0.239155,0.491744,0.63785,0.25942,0.0651355,0.395862,0.206109,0.364698,0.429141,0.300254,0.210211,0,0.00350441,0.00350877,0,0,0,0,0.0600287,0.0108576,0,0.028125,0,0,0,0,0,0,0,0.109892,0.143849,0.210056,0.216355,0.182981,0.254665,0.202044,0.228187,0.272598,0.14175,0.293378,0.126747,4,1,1,1,2,2,2,1,3,2,2,4,1,1,1,1,1
55,300,225,0.145721,0.162729,0.135278,0.35142,0.392436,0.208244,0.502858,0.561549,0.222155,0.0360772,0.336291,0.177299,0.363142,0.427692,0.298591,0.206249,0,0.00700008,0.00701754,0,0,0,0,0.0850985,0.0155774,0,0.028125,0,0,0,0,0,0,0,0.125585,0.15456,0.210813,0.216159,0.187832,0.248713,0.203995,0.226212,0.263935,0.15281,0.281589,0.139922,2,1,1,1,2,1,1,4,2,1,2,2,2,1,4,2,2
56,300,225,0.175173,0.239341,0.22018,0.356945,0.487697,0.276564,0.467882,0.639271,0.280696,0.116244,0.422225,0.248048,0.364296,0.427187,0.301405,0.209318,0,0,0,0,0,0,0,0.0871377,0.0148138,0,0.028125,0,0,0,0,0,0,0,0.102673,0.138336,0.209846,0.216383,0.181169,0.25776,0.201047,0.229028,0.275947,0.136644,0.299418,0.120835,2,2,2,1,1,2,3,4,1,2,3,4,2,2,2,2,2
57,300,225,0.186732,0.208483,0.213804,0.343816,0.383864,0.274958,0.469452,0.524133,0.286409,0.0814439,0.340554,0.25008,0.364432,0.427597,0.301266,0.212046,0,0.00350441,0.00350877,1,0.474681,0,0.0627451,0.0974028,0.102465,0,0.028125,0,0,0,0,0,0,0,0.124678,0.153642,0.210837,0.216165,0.187628,0.249221,0.203804,0.226276,0.26429,0.152019,0.282601,0.138944,3,2,2,2,3,2,1,4,3,4,3,3,1,1,2,1,3
58,300,225,0.175893,0.270604,0.204387,0.356697,0.548765,0.271582,0.46741,0.719093,0.23164,0.0714003,0.475482,0.236749,0.364522,0.425256,0.303789,0.20887,0,0.00350441,0.00350877,0,0,0,0,0.102384,0.0179696,0,0.028125,0,0,0,0,0,0,0,0.0889019,0.129449,0.209253,0.216627,0.176641,0.262724,0.199399,0.230764,0.283988,0.127129,0.309244,0.109534,2,2,2,2,2,2,2,2,1,3,4,4,2,2,2,2,2
59,300,225,0.239675,0.312155,0.357627,0.334415,0.435544,0.355041,0.42591,0.554709,0.331294,0.043069,0.404136,0.339086,0.362944,0.42426,0.301627,0.20567,0,0,0,0,0,0,0,0.0715718,0.0121983,0,0.028125,0,0,0,0,0,0,0,0.107735,0.142761,0.209861,0.216405,0.182126,0.255259,0.201864,0.22851,0.274156,0.140419,0.294594,0.124862,4,4,4,2,2,4,4,2,2,3,4,2,2,2,2,2,2
60,300,225,0.193271,0.325682,0.317002,0.356607,0.600923,0.292508,0.450122,0.758506,0.253302,0.135078,0.526055,0.27977,0.365265,0.426211,0.304318,0.202289,0,0,0,0,0,0,0,0.0813846,0.0139253,0,0.028125,0,0,0,0,0,0,0,0.0747917,0.120314,0.208361,0.216901,0.172429,0.267739,0.197663,0.232509,0.291396,0.117315,0.319402,0.0980008,2,2,2,2,3,4,2,1,3,3,2,4,2,2,2,2,2
61,300,225,0.234476,0.23636,0.253555,0.342265,0.345016,0.279495,0.423259,0.426661,0.274717,0.105344,0.315491,0.264322,0.367013,0.427764,0.306261,0.202574,0,0.00700016,0.00701754,0,0,0,0,0.0879557,0.0160489,0,0.028125,0,0,0,0,0,0,0,0.131118,0.158191,0.211008,0.216051,0.189481,0.246655,0.204705,0.22558,0.260892,0.156585,0.277564,0.143648,2,4,2,2,4,2,2,2,4,3,2,2,1,1,2,2,2
62,300,225,0.27605,0.484105,0.331454,0.342277,0.600246,0.333497,0.381672,0.669332,0.315538,0.0544244,0.562147,0.323333,0.367453,0.429474,0.305432,0.200305,0,0,0,0,0,0,0,0.0919689,0.0157026,0,0.028125,0,0,0,0,0,0,0,0.0658566,0.114265,0.207966,0.216975,0.169385,0.271136,0.19668,0.23374,0.297068,0.111228,0.325981,0.0896095,4,2,2,2,3,4,4,2,3,1,4,2,1,1,2,2,2
63,300,225,0.107207,0.0864756,0.0804614,0.342405,0.276193,0.175738,0.550388,0.443957,0.239656,0.053131,0.233879,0.146634,0.366056,0.426619,0.305492,0.220766,0,0.0208968,0.0210526,0,0,0,0,0.088582,0.0184159,0,0.028125,0,0,0,0,0,0,0,0.152851,0.172996,0.212042,0.215813,0.196087,0.23842,0.207361,0.222818,0.249045,0.171722,0.261281,0.162208,2,2,2,1,4,2,2,1,2,2,2,2,1,2,2,2,2
64,300,225,0.114807,0.113347,0.0918087,0.347611,0.343191,0.189848,0.537582,0.530746,0.254913,0.0603306,0.290003,0.159254,0.366041,0.425846,0.306235,0.218937,0,0,0,0,0,0,0,0.109457,0.0184401,0,0.028125,0,0,0,0,0,0,0,0.137956,0.162555,0.211374,0.215989,0.191658,0.24426,0.205451,0.224641,0.257026,0.161286,0.272786,0.149779,2,2,1,1,2,2,1,1,3,3,3,1,2,2,3,2,2
65,300,225,0.142786,0.159839,0.137298,0.350686,0.392571,0.188011,0.506528,0.567025,0.211146,0.0537734,0.336131,0.158257,0.366239,0.426841,0.305636,0.215768,0,0,0,0,0,0,0,0.0755496,0.0128182,0,0.028125,0,0,0,0,0,0,0,0.126356,0.154894,0.2107,0.216152,0.187734,0.248526,0.204048,0.226235,0.264113,0.15333,0.281227,0.140061,4,1,1,4,2,1,1,4,2,1,2,2,2,1,4,2,2
66,300,225,0.106962,0.0890156,0.085039,0.343388,0.285773,0.164724,0.549649,0.457426,0.206535,0.0475314,0.241671,0.137448,0.365747,0.42731,0.304184,0.212668,0,0.00700014,0.00701754,0,0,0,0,0.0751761,0.0138633,0,0.028125,0,0,0,0,0,0,0,0.150947,0.171451,0.211938,0.2158,0.19557,0.239272,0.207046,0.222936,0.249986,0.170358,0.262961,0.161281,1,1,4,1,1,1,1,3,1,1,2,2,2,1,2,4,1
